title,description,created,company,location,category
Data Scientist,"Overview: The Data Scientist supports the development and implementation of data models, focusing on Machine Learning, under the supervision of more experienced scientists, contributing to the team’s innovative projects. Job Description: Assist in the development of Machine Learning models and algorithms, contributing to the design and implementation of data-driven solutions. Perform data preprocessing, cleaning, and analysis, preparing datasets for modeling and supporting higher-level data sci…",2026-04-21T07:36:06Z,v4c.ai,India,IT Jobs
Data Scientist,"Company Description Unisynq is redefining engineering education by blending academic learning with real-world experiences. Through a work-integrated pathway, students engage in hands-on projects, gain industry exposure, and participate in internships to build practical expertise. Focused on results, Unisynq emphasizes skill development, experience, and job readiness. Our approach equips future engineers to tackle real-world challenges and excel in their careers with confidence. Role Description…",2026-05-06T16:19:14Z,UNISYNQ,"Bangalore, Karnataka",IT Jobs
Data Scientist,"5 years in an analytical position. Coding experience required § Degree in Mathematics, Statistics, Data Science or similar required § Proven experience handling end-to-end data science projects starting from problem understanding, data cleaning and analysis, modelling, testing and (ideally) deployment § Advanced knowledge of Python, SQL and Excel. R and JavaScript knowledge is nice to have § Experience with typical data science packages: numpy, pandas, matplotlib/seaborn, scikit-learn, scipy, s…",2026-05-15T09:19:02Z,"Simelabs - Digital, AI/ML, Automation, Robotics, Gen AI.","Kerala, India",IT Jobs
Data Scientist,"5 years in an analytical position. Coding experience required Degree in Mathematics, Statistics, Data Science or similar required Proven experience handling end-to-end data science projects starting from problem understanding, data cleaning and analysis, modelling, testing and (ideally) deployment Advanced knowledge of Python, SQL and Excel. R and JavaScript knowledge is nice to have Experience with typical data science packages: numpy, pandas, matplotlib/seaborn, scikit-learn, scipy, statsmode…",2026-05-07T16:26:37Z,Astek,"Kochi, Ernakulam",IT Jobs
Data Scientist,"Company Description Flexi Roundtables: Top 1% Leaders is an invite-only forum that connects elite professionals with expertise in business, quality, data, and content analysis. The team focuses on building strong and vibrant communities for customer acquisition, retention, and engagement. With a commitment to delivering unparalleled value to customers, the organization stands out by fostering meaningful connections and insights. Flexi Roundtables thrives on innovation and excellence to drive su…",2026-05-22T17:50:56Z,Flexi Roundtables : Top 1% Leaders,India,IT Jobs
Data Scientist,"About UptimeAI: UptimeAI is leading the way in predictive analytics and AI-driven solutions to optimize operational uptime and reduce downtime for industrial and enterprise clients. Our innovative platform harnesses cutting-edge data science to deliver actionable insights, ensuring maximum efficiency and reliability. UptimeAI uniquely combines Artificial Intelligence with Subject Matter Knowledge from 200 years of cumulative experience to explain interrelations across upstream/downstream equipm…",2026-03-31T10:32:12Z,UptimeAI Inc.,"Bangalore, Karnataka",IT Jobs
Data Scientist,"zaJob Title: Data Scientist – Advanced Analytics Location: Bangalore | Experience: 7 Years Short Job Description We are looking for a skilled Data Scientist with strong expertise in advanced analytics, statistical modeling, and machine learning . The role involves analyzing large datasets, building predictive models, and delivering actionable insights to support business decisions. Key Requirements Experience in Data Science / Advanced Analytics Proficiency in Python, R, or SQL Knowledge of mac…",2026-05-17T15:39:21Z,IBM,"Bangalore, Karnataka",IT Jobs
Data Scientist,"Here are skills we are looking for Data Science 3 years of relevant data science experience Ability to anticipate potential challenges and proactively address them in modeling and non-modeling settings Experience in building deep learning models, and Object-Oriented Programming skills, preferably in Python Prior exposure to healthcare or insurance businesses Preferred experience with GCP platform using Vertex AI, BigQuery.",2026-05-28T18:15:02Z,Ascendion,"Bangalore, Karnataka",IT Jobs
Data Scientist,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",2026-05-03T15:41:53Z,AB InBev GCC India,"Bangalore, Karnataka",IT Jobs
Data Scientist,"We are looking for an experienced Data Scientist to join our team in Bengaluru (Mahadevapura). If you are passionate about solving real-world business problems using Data Science, Machine Learning, and Generative AI, we would love to connect with you!  Location: Bengaluru (Mahadevapura)  Work Mode: 5 Days Work From Office  Experience: 5 Years ⚡ Preference: Immediate Joiners Responsibilities: Build and optimize scalable ML/Data Science solutions Work on forecasting and supply chain optimization …",2026-05-09T18:30:17Z,C5i,"Bangalore, Karnataka",IT Jobs
Data Scientist,"Data Scientist with GenAI (5–8 Years)-Bangalore We are looking for a highly skilled Data Scientist with Generative AI expertise to design, develop, and deploy AI-driven solutions that solve complex business challenges. The role involves working on Machine Learning models, Large Language Models (LLMs), Retrieval-Augmented Generation (RAG), AI Agents, Prompt Engineering, and cloud-based AI services while collaborating with cross-functional teams to deliver impactful outcomes. Location – Bengaluru…",2026-05-24T17:55:54Z,Crescendo Global,"Bangalore, Karnataka",IT Jobs
Data Science,"Greetings ValueLabs is looking for Data Science Architect | Specialist Please find the details below: Experience: 6 Years Location: Hyderabad/ Hybrid (3 days WFO) Notice Period: Immediate /Less than 10 days(if serving notice) Job Description AI/ML Specialist,AI/ML Model Developer,Developing and implementing AI/ML models and algorithms,Collaborating with the data science team to optimize AI/ML solutions,Staying updated on the latest AI/ML trends and technologies. Master’s in Data Science, Comput…",2026-03-31T10:23:10Z,ValueLabs,"Hyderabad, Telangana",IT Jobs
Data Scientist,"Data Scientist – 3 positions. Work location – Gachibowli, Hyderabad Work model – Hybrid – 4 days onsite per week. Interview process – Face to face must for L1 and L2 discussions. Need candidates who can start under 30 days notice period ONLY. About the role: We are seeking Data Scientists who will design, develop, and deploy advanced GenAI solutions like RAG and Agentic AI workflows to optimize risk assessment, claims automation, fraud detection, and personalized underwriting. Key responsibilit…",2026-05-07T16:21:04Z,Tezo,"Hyderabad, Telangana",IT Jobs
Data Scientist,Experience: 3-5 years Location: Bangalore Start Timeline: Immediate Key Responsibilities Lead data science initiatives and mentor junior team members Design and implement ML solutions using Python and Azure Drive analytics and model deployment strategies Collaborate with stakeholders for business insights Must Have Skills Strong expertise in Python Hands-on experience in Machine Learning & Data Science Experience working on Azure platform Leadership / team handling experience Good to Have Expos…,2026-05-22T17:53:26Z,Akkodis,"Bangalore, Karnataka",IT Jobs
Data Scientist,"About CoffeeBeans Consulting CoffeeBeans is a fast-growing software consulting firm known for solving complex business problems using cutting-edge engineering, AI, and data science. Our teams deliver end-to-end solutions across ML and GenAI, with a strong focus on building production-grade systems that drive measurable value for clients in fintech, retail, healthcare, logistics, and beyond. Experience: 4 - 8 Years Location: Bangalore Work mode: WFO Note: Should be willing to travel short term w…",2026-05-22T17:49:58Z,CoffeeBeans,"Bangalore, Karnataka",IT Jobs
Data Scientist,"Role: Data Scientist Location: Hyderabad Experience: 1-3 years About the role: We are seeking a seasoned Data Scientist to spearhead AI and machine learning initiatives for our insurance operations. You will design, develop, and deploy advanced GenAI solutions like RAG and Agentic AI workflows to optimize risk assessment, claims automation, fraud detection, and personalized underwriting. You'll integrate AI into production systems on Cloud platforms, drive model performance, and align innovatio…",2026-05-06T16:16:22Z,Tezo,"Hyderabad, Telangana",IT Jobs
Data Scientist,"About Us: At Valiance, we empower businesses with AI-driven insights and data analytics solutions. Specializing in demand forecasting within retail Industry specific to Apparel and Footwear, CPG domains, we leverage standardized ML models to deliver accurate forecasting outcomes to our clients. We are looking for a skilled Data Scientist who can interpret and improve these models to drive real-world business results. Role Overview: The Data Scientist will be responsible for applying our pre-tra…",2026-05-26T18:09:27Z,Valiance Solutions,"Bangalore, Karnataka",IT Jobs
Data Scientist,"Position: Permanent Role: Data Scientist Experience: 5-8 Years Location: Bangalore Shift: General Shift Work Mode: Hybrid Key Skills: – Machine Learning, Gen AI,LLM,RAG About the Company Movate, formerly called CSS CORP, is a new age services company that harnesses the power of digital technologies to reimagine customer engagements. We enable businesses to anticipate and face disruptions effectively through our digital, technology and support services. We are a global customer experience and te…",2026-05-25T07:58:15Z,Movate,"Bangalore, Karnataka",IT Jobs
Data Scientist,"We are looking for a Data Scientist to build intelligent systems on top of IoT data powering next-generation aquaculture operations. You will convert raw data into predictive, prescriptive, and decision-support systems deployed in production environments. You will own problem framing, experimentation, deployment, and impact measurement Responsibilities : Collaborate with engineering and product teams to support continuous data needs. Ensure datasets used for analysis remain clean, consistent, a…",2026-05-01T16:58:53Z,Eruvaka Technologies,"Hyderabad, Telangana",IT Jobs
Data Scientist,"What You Get to Do: • Design and build cutting-edge GenAI solutions that power analytics and insights in HR, benefits, and payroll. • Lead the development of AI systems that make complex data accessible and actionable for business users. • Fine-tune and deploy large language models to solve real business challenges. • Drive technical decisions around model architecture, deployment strategies, and production optimization. • Guide junior data scientists and collaborate with cross-functional teams…",2026-05-09T18:30:08Z,Sequoia,"Bangalore, Karnataka",IT Jobs
Data Scientist,"About KeyValue KeyValue is a premier global AI-driven product development hub, dedicated to transforming ideas into scalable and impactful software products. With expertise across diverse industries, we deliver high-quality solutions with the power of AI and automation. As an AI-first organisation, we strive to push the boundaries of technology, offering accelerated, flexible, and cost-effective product development. We are looking for a talented and motivated Data Scientist to join our growing …",2026-04-28T18:46:08Z,KeyValue,"Kochi, Ernakulam",IT Jobs
Data Scientist,"Main tasks: Develop functionalities around Data Science /Generative AI (chat bot, Agentic AI, RAG / GraphRAG) Improve existing Pyspark/Python code to make it more performant and in line with the coding standards. Develop and maintain data pipelines with Azure stack (ADF, Databricks, SQL, ADLS) Conduct robust data analysis Work with Consumption Team and integrate code with API they develop. Make sure that code meets all their standards and requirement. Promote coding standards amongst the Team a…",2026-05-13T18:57:24Z,Tech Mahindra,"Bangalore, Karnataka",IT Jobs
Data Scientist,"Job Title: Data Scientist – Jewellery Manufacturing & Retail Analytics Experience: 2–6 years Location: Surat / Mumbai Industry: Diamond and Jewellery Manufacturing & Retail Role OverviewWe’re looking for a Data Scientist with a strong business mindset to solve real-world problems in the jewellery value chain — not just build models.This role sits at the intersection of data, finance, supply chain, and leadership. You’ll work on demand forecasting, pricing, inventory optimisation, and margin ana…",2026-05-04T07:54:54Z,Dholakia Lab Grown Diamond,"Mumbai, Maharashtra",IT Jobs
Data Scientist,Role : Data Scientist Experience : 5 to 12 years Location : Bhubaneswar/ Chennai Mode of Interview: Virtual Job Description Python Generative AI Hugging Face Lang Graph LangChain OpenAI Ollama Vllm PG Vector Unix,2026-04-30T14:50:49Z,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs
Data Scientist,"About the Company: Everest DX – We are a Digital Platform Services company, headquartered in Stamford. Our Platform/Solution includes Orchestration, Intelligent operations with BOTs’, AI-powered analytics for Enterprise IT. Our vision is to enable Digital Transformation for enterprises to deliver seamless customer experience, business efficiency and actionable insights through an integrated set of futuristic digital technologies. Digital Transformation Services - Specialized in Design, Build, D…",2026-05-23T17:55:06Z,EverestDX Inc,"Hyderabad, Telangana",IT Jobs
