title,description,created,company,location,category,skills
Data Scientist,"overview: the data scientist supports the development and implementation of data models, focusing on machine learning, under the supervision of more experienced scientists, contributing to the team’s innovative projects. job description: assist in the development of machine learning models and algorithms, contributing to the design and implementation of data-driven solutions. perform data preprocessing, cleaning, and analysis, preparing datasets for modeling and supporting higher-level data sci…",2026-04-21T07:36:06Z,v4c.ai,India,IT Jobs,['machine learning']
Data Scientist,"company description unisynq is redefining engineering education by blending academic learning with real-world experiences. through a work-integrated pathway, students engage in hands-on projects, gain industry exposure, and participate in internships to build practical expertise. focused on results, unisynq emphasizes skill development, experience, and job readiness. our approach equips future engineers to tackle real-world challenges and excel in their careers with confidence. role description…",2026-05-06T16:19:14Z,UNISYNQ,"Bangalore, Karnataka",IT Jobs,['excel']
Data Scientist,"5 years in an analytical position. coding experience required § degree in mathematics, statistics, data science or similar required § proven experience handling end-to-end data science projects starting from problem understanding, data cleaning and analysis, modelling, testing and (ideally) deployment § advanced knowledge of python, sql and excel. r and javascript knowledge is nice to have § experience with typical data science packages: numpy, pandas, matplotlib/seaborn, scikit-learn, scipy, s…",2026-05-15T09:19:02Z,"Simelabs - Digital, AI/ML, Automation, Robotics, Gen AI.","Kerala, India",IT Jobs,"['python', 'sql', 'excel', 'numpy', 'pandas', 'scikit-learn', 'statistics', 'data science']"
Data Scientist,"5 years in an analytical position. coding experience required degree in mathematics, statistics, data science or similar required proven experience handling end-to-end data science projects starting from problem understanding, data cleaning and analysis, modelling, testing and (ideally) deployment advanced knowledge of python, sql and excel. r and javascript knowledge is nice to have experience with typical data science packages: numpy, pandas, matplotlib/seaborn, scikit-learn, scipy, statsmode…",2026-05-07T16:26:37Z,Astek,"Kochi, Ernakulam",IT Jobs,"['python', 'sql', 'excel', 'numpy', 'pandas', 'scikit-learn', 'statistics', 'data science']"
Data Scientist,"company description flexi roundtables: top 1% leaders is an invite-only forum that connects elite professionals with expertise in business, quality, data, and content analysis. the team focuses on building strong and vibrant communities for customer acquisition, retention, and engagement. with a commitment to delivering unparalleled value to customers, the organization stands out by fostering meaningful connections and insights. flexi roundtables thrives on innovation and excellence to drive su…",2026-05-22T17:50:56Z,Flexi Roundtables : Top 1% Leaders,India,IT Jobs,['excel']
Data Scientist,"about uptimeai: uptimeai is leading the way in predictive analytics and ai-driven solutions to optimize operational uptime and reduce downtime for industrial and enterprise clients. our innovative platform harnesses cutting-edge data science to deliver actionable insights, ensuring maximum efficiency and reliability. uptimeai uniquely combines artificial intelligence with subject matter knowledge from 200 years of cumulative experience to explain interrelations across upstream/downstream equipm…",2026-03-31T10:32:12Z,UptimeAI Inc.,"Bangalore, Karnataka",IT Jobs,"['artificial intelligence', 'data science', 'predictive analytics']"
Data Scientist,"zajob title: data scientist – advanced analytics location: bangalore | experience: 7 years short job description we are looking for a skilled data scientist with strong expertise in advanced analytics, statistical modeling, and machine learning . the role involves analyzing large datasets, building predictive models, and delivering actionable insights to support business decisions. key requirements experience in data science / advanced analytics proficiency in python, r, or sql knowledge of mac…",2026-05-17T15:39:21Z,IBM,"Bangalore, Karnataka",IT Jobs,"['python', 'sql', 'machine learning', 'data science']"
Data Scientist,"here are skills we are looking for data science 3 years of relevant data science experience ability to anticipate potential challenges and proactively address them in modeling and non-modeling settings experience in building deep learning models, and object-oriented programming skills, preferably in python prior exposure to healthcare or insurance businesses preferred experience with gcp platform using vertex ai, bigquery.",2026-05-28T18:15:02Z,Ascendion,"Bangalore, Karnataka",IT Jobs,"['python', 'gcp', 'deep learning', 'data science']"
Data Scientist,"dreaming big is in our dna. it’s who we are as a company. it’s our culture. it’s our heritage. and more than ever, it’s our future. a future where we’re always looking forward. always serving up new ways to meet life’s moments. a future where we keep dreaming bigger. we look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. the power we create together – when we combine your strengths with ours – is …",2026-05-03T15:41:53Z,AB InBev GCC India,"Bangalore, Karnataka",IT Jobs,[]
Data Scientist,"we are looking for an experienced data scientist to join our team in bengaluru (mahadevapura). if you are passionate about solving real-world business problems using data science, machine learning, and generative ai, we would love to connect with you!  location: bengaluru (mahadevapura)  work mode: 5 days work from office  experience: 5 years ⚡ preference: immediate joiners responsibilities: build and optimize scalable ml/data science solutions work on forecasting and supply chain optimization …",2026-05-09T18:30:17Z,C5i,"Bangalore, Karnataka",IT Jobs,"['machine learning', 'ml', 'data science', 'generative ai', 'scala']"
